,variant,value
0,variant_a,0.2683
1,variant_a,0.1852
2,variant_a,0.0711
3,variant_a,0.0018
4,variant_a,0.1054
5,variant_a,0.0563
6,variant_a,0.0685
7,variant_a,0.012
8,variant_a,0.0004
9,variant_a,0.047
10,variant_a,0.0
11,variant_a,0.0125
12,variant_a,0.0003
13,variant_a,0.0
14,variant_a,0.0321
15,variant_a,0.1515
16,variant_a,0.0
17,variant_a,0.0664
18,variant_a,0.1278
19,variant_a,0.0029
20,variant_a,0.0158
21,variant_a,0.1126
22,variant_a,0.0163
23,variant_a,0.0106
24,variant_a,0.0025
25,variant_a,0.0
26,variant_a,0.3696
27,variant_a,0.1387
28,variant_a,0.0
29,variant_a,0.0
30,variant_a,0.0001
31,variant_a,0.0005
32,variant_a,0.0173
33,variant_a,0.0153
34,variant_a,0.0024
35,variant_a,0.0003
36,variant_a,0.0071
37,variant_a,0.0022
38,variant_a,0.0128
39,variant_a,0.0309
40,variant_a,0.0165
41,variant_a,5.2399
42,variant_a,0.0146
43,variant_a,0.2965
44,variant_a,0.0333
45,variant_a,0.1531
46,variant_a,0.0021
47,variant_a,0.0135
48,variant_a,0.0537
49,variant_a,0.016
50,variant_a,0.0316
51,variant_a,0.0055
52,variant_a,0.0259
53,variant_a,0.0582
54,variant_a,0.0092
55,variant_a,0.2884
56,variant_a,0.0312
57,variant_a,0.0054
58,variant_a,0.0478
59,variant_a,0.0043
60,variant_a,0.0113
61,variant_a,0.0207
62,variant_a,0.0
63,variant_a,0.0092
64,variant_a,0.0993
65,variant_a,0.89
66,variant_a,0.0061
67,variant_a,0.0155
68,variant_a,0.0587
69,variant_a,0.1623
70,variant_a,0.0185
71,variant_a,0.0057
72,variant_a,0.2301
73,variant_a,1.4428
74,variant_a,0.0004
75,variant_a,0.0525
76,variant_a,0.0255
77,variant_a,0.0395
78,variant_a,0.008
79,variant_a,0.0025
80,variant_a,0.0
81,variant_a,0.015
82,variant_a,0.0001
83,variant_a,3.5108
84,variant_a,0.0059
85,variant_a,0.0
86,variant_a,0.0021
87,variant_a,0.1107
88,variant_a,0.0044
89,variant_a,0.0266
90,variant_a,0.0
91,variant_a,0.0
92,variant_a,0.0001
93,variant_a,0.1069
94,variant_a,0.0544
95,variant_a,0.0012
96,variant_a,0.0
97,variant_a,0.0108
98,variant_a,0.2161
99,variant_a,0.0031
100,variant_a,0.0189
101,variant_a,0.025
102,variant_a,0.071
103,variant_a,0.0114
104,variant_a,0.0015
105,variant_a,0.015
106,variant_a,0.099
107,variant_a,0.0004
108,variant_a,0.0107
109,variant_a,0.0017
110,variant_a,0.0
111,variant_a,0.0822
112,variant_a,0.0061
113,variant_a,0.0005
114,variant_a,0.0059
115,variant_a,0.0279
116,variant_a,0.2835
117,variant_a,0.0
118,variant_a,0.0984
119,variant_a,0.1428
120,variant_a,0.0008
121,variant_a,0.0062
122,variant_a,0.0353
123,variant_a,0.0301
124,variant_a,0.0399
125,variant_a,0.0004
126,variant_a,0.0303
127,variant_a,0.0054
128,variant_a,0.0697
129,variant_a,0.0
130,variant_a,0.0111
131,variant_a,0.1701
132,variant_a,0.0027
133,variant_a,0.0028
134,variant_a,0.002
135,variant_a,0.0
136,variant_a,0.0209
137,variant_a,0.0022
138,variant_a,0.0002
139,variant_a,0.3045
140,variant_a,0.1068
141,variant_a,0.2646
142,variant_a,0.5672
143,variant_a,0.0772
144,variant_a,0.026
145,variant_a,0.0847
146,variant_a,0.0
147,variant_a,0.0439
148,variant_a,0.3553
149,variant_a,0.0001
150,variant_a,0.0
151,variant_a,0.0004
152,variant_a,0.0169
153,variant_a,0.2742
154,variant_a,0.4988
155,variant_a,0.0124
156,variant_a,0.0701
157,variant_a,0.0003
158,variant_a,0.1035
159,variant_a,0.0286
160,variant_a,0.0741
161,variant_a,0.0039
162,variant_a,0.0415
163,variant_a,0.0868
164,variant_a,0.0017
165,variant_a,0.0016
166,variant_a,0.0727
167,variant_a,0.0017
168,variant_a,0.0032
169,variant_a,0.0
170,variant_a,0.2252
171,variant_a,0.1556
172,variant_a,0.015
173,variant_a,0.0409
174,variant_a,0.2985
175,variant_a,0.0065
176,variant_a,0.0018
177,variant_a,0.0
178,variant_a,0.0082
179,variant_a,0.0126
180,variant_a,0.0533
181,variant_a,0.1146
182,variant_a,0.0007
183,variant_a,0.1092
184,variant_a,0.3643
185,variant_a,0.1177
186,variant_a,0.0551
187,variant_a,0.0
188,variant_a,0.1391
189,variant_a,0.265
190,variant_a,0.11
191,variant_a,0.0
192,variant_a,0.021
193,variant_a,0.0
194,variant_a,0.0439
195,variant_a,0.0015
196,variant_a,0.3062
197,variant_a,0.0055
198,variant_a,0.2008
199,variant_a,0.074
200,variant_a,0.047
201,variant_a,0.3376
202,variant_a,0.0056
203,variant_a,0.0429
204,variant_a,0.2556
205,variant_a,0.0111
206,variant_a,0.2168
207,variant_a,0.016
208,variant_a,0.3319
209,variant_a,0.0046
210,variant_a,0.0
211,variant_a,0.0
212,variant_a,0.0247
213,variant_a,0.0228
214,variant_a,0.1291
215,variant_a,0.0266
216,variant_a,0.1923
217,variant_a,0.1131
218,variant_a,0.0
219,variant_a,0.0132
220,variant_a,0.1798
221,variant_a,0.156
222,variant_a,0.0457
223,variant_a,0.0334
224,variant_a,0.0718
225,variant_a,0.0093
226,variant_a,0.1597
227,variant_a,0.0016
228,variant_a,0.0002
229,variant_a,0.0076
230,variant_a,0.1416
231,variant_a,0.0418
232,variant_a,0.0771
233,variant_a,0.021
234,variant_a,0.003
235,variant_a,0.1043
236,variant_a,0.0358
237,variant_a,0.082
238,variant_a,0.1293
239,variant_a,0.061
240,variant_a,0.0
241,variant_a,0.1934
242,variant_a,0.1881
243,variant_a,0.0057
244,variant_a,0.1012
245,variant_a,0.1306
246,variant_a,0.0809
247,variant_a,1.7128
248,variant_a,0.0002
249,variant_a,0.24
250,variant_a,0.1528
251,variant_a,0.0
252,variant_a,1.9537
253,variant_a,0.0061
254,variant_a,0.054
255,variant_a,0.0028
256,variant_a,0.0205
257,variant_a,0.3088
258,variant_a,0.0206
259,variant_a,0.0802
260,variant_a,0.017
261,variant_a,0.167
262,variant_a,0.0049
263,variant_a,0.3951
264,variant_a,0.0
265,variant_a,0.0
266,variant_a,0.0127
267,variant_a,10.3212
268,variant_a,0.1502
269,variant_a,0.0554
270,variant_a,0.0013
271,variant_a,0.0227
272,variant_a,0.0269
273,variant_a,0.0164
274,variant_a,0.0042
275,variant_a,0.0865
276,variant_a,1.6118
277,variant_a,0.0294
278,variant_a,0.0235
279,variant_a,0.0403
280,variant_a,0.0069
281,variant_a,0.0
282,variant_a,0.299
283,variant_a,0.0
284,variant_a,0.2481
285,variant_a,0.0286
286,variant_a,0.0
287,variant_a,0.0028
288,variant_a,0.0006
289,variant_a,0.2232
290,variant_a,0.1311
291,variant_a,0.0051
292,variant_a,0.0008
293,variant_a,2.799
294,variant_a,0.7422
295,variant_a,0.0159
296,variant_a,0.0793
297,variant_a,0.0299
298,variant_a,0.0052
299,variant_a,0.0115
